Bootstrap,Technique,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,S_CC_Pearson_Norm,S_CC_Spearman_Norm,S_CC_Pairwise_Norm,S_CC_Layer_Norm,S_CC_Variance_Norm,S_CC_Aggregate,Rank,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance
859,Subspace-oriented Representational Analysis,0.08618600456065514,0.12418378070661593,0.5083655083655084,0.12079537181814591,0.22467636028624927,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
860,Attention Entropy Analysis,0.19106450118076082,0.25540703205206217,0.642156862745098,0.23735566746901024,0.10513241885290289,24,1.0,1.0,1.0,1.0,0.4559540391374114,0.8911908078274824,1,1.0,1.0,1.0,1.0,3.0
860,Subspace-oriented Representational Analysis,0.12587417309648521,0.15400413511321326,0.6047237076648841,0.14674494978792124,0.22335803295517628,25,0.0,0.2276130697848214,0.5578947368421058,0.25598602242897295,1.0,0.4082987658111801,2,5.0,2.0,2.0,2.0,1.0
860,Layer-wise Activation Distance,0.1421859041913687,0.12412863344729613,0.5574866310160428,0.11559095449630323,0.10694903418564888,25,0.25021704253116034,5.106004961776798e-05,0.0,0.00017734386044014527,0.46431366781624017,0.1429518228514917,3,4.0,3.0,3.0,3.0,2.0
860,CKA Similarity,0.14803768440839754,0.12412193002347248,0.5574866310160428,0.11556935644175689,0.012058549034264331,25,0.33998158872985224,0.0,0.0,0.0,0.02765038158248738,0.07352639406246793,4,3.0,5.0,3.0,5.0,4.0
860,Cosine Similarity,0.14811813115884168,0.12412863344729613,0.5574866310160428,0.11559095449630323,0.0060498961300707865,25,0.34121561765420644,5.106004961776798e-05,0.0,0.00017734386044014527,0.0,0.06828880431285286,5,2.0,3.0,3.0,3.0,5.0
861,Attention Entropy Analysis,0.1904749027597644,0.257568807762855,0.6195426195426195,0.24280838871531754,0.09286064784211027,24,1.0,1.0,1.0,1.0,0.4022518606391064,0.8804503721278213,1,1.0,1.0,1.0,1.0,3.0
861,Layer-wise Activation Distance,0.15039787091874643,0.16064134522838422,0.5446985446985446,0.15123167909567742,0.10097368404126557,25,0.5678089809589936,0.38284814980147236,0.12195121951219455,0.36905823113919667,0.4395141372651772,0.3762361437354068,2,2.0,3.0,2.0,3.0,2.0
861,CKA Similarity,0.14217561047475827,0.16085392057531564,0.5446985446985446,0.15134671228177785,0.010529218411608202,25,0.47914006120953295,0.3842016492662774,0.12195121951219455,0.3698507824572922,0.024112724666976466,0.2758512874224547,3,3.0,2.0,2.0,2.0,4.0
861,Cosine Similarity,0.14209857804269246,0.16064134522838422,0.5446985446985446,0.15123167909567742,0.005279206179489976,25,0.4783093428707648,0.38284814980147236,0.12195121951219455,0.36905823113919667,0.0,0.2704333886647257,4,4.0,3.0,2.0,3.0,5.0
861,Subspace-oriented Representational Analysis,0.09774499844582157,0.10051270803101298,0.5343035343035343,0.09766550209840134,0.22300707827303115,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
862,Attention Entropy Analysis,0.189547401330946,0.211017355760703,0.5228571428571429,0.1975210071278966,0.10706208329271033,24,1.0,1.0,0.0,1.0,0.4703952839982992,0.6940790567996599,1,1.0,1.0,5.0,1.0,2.0
862,Subspace-oriented Representational Analysis,0.1141733887510146,0.12047475785988171,0.5957142857142856,0.11625310955371519,0.22095739986863205,25,0.0,0.0,1.0,0.0,1.0,0.4,2,5.0,5.0,1.0,5.0,1.0
862,Layer-wise Activation Distance,0.1764909633013301,0.14347184299638543,0.5261904761904762,0.1344213835051479,0.10623833862367231,25,0.826777989087817,0.2539918852526665,0.04575163398692771,0.22356028018134333,0.46656493280722994,0.3633293442631969,3,4.0,3.0,2.0,3.0,3.0
862,CKA Similarity,0.18094802782564876,0.14358460119022814,0.5261904761904762,0.13447785006313742,0.011762160393123475,25,0.8859106313840208,0.2552372459608519,0.04575163398692771,0.2242551001493138,0.027257759826478697,0.2876824742615186,4,3.0,2.0,2.0,2.0,4.0
862,Cosine Similarity,0.18098025826767405,0.14347184299638543,0.5261904761904762,0.1344213835051479,0.005900182410704484,25,0.8863382382066126,0.2539918852526665,0.04575163398692771,0.22356028018134333,0.0,0.28192840752551007,5,2.0,3.0,2.0,3.0,5.0
863,Layer-wise Activation Distance,0.19754256660132852,0.19964968888966395,0.6233333333333333,0.19017611482910698,0.10703523698294463,25,0.9983093369731263,0.6931500679892492,1.0,0.6804290851675086,0.4632489385059956,0.767027485727176,1,3.0,3.0,1.0,2.0,3.0
863,Attention Entropy Analysis,0.19353713944027748,0.24513884335617997,0.5504166666666666,0.2350576183192573,0.10837891902367801,24,0.9593670030507081,1.0,0.2738589211618245,1.0,0.4694059325204976,0.740526371346606,2,4.0,1.0,4.0,1.0,2.0
